komentar,clean_text,sentiment
Mantappp Poko nya mahh😘😍😍 Trimakasih selerrrr🤗 Dapet gratisan kaos kaki pula....😍😍 The best pokona mahh😍😍😘😘😘,mantappp poko nya mahh trimakasih selerrrr dapet gratis kaos kaki pula the best pokona mahh,positif
Baguss bgt dpt free kaos kaki 🩷🖤,baguss banget dpt free kaos kaki,positif
Bentuk dan ukuran: Passs Tpii lem nyaa ngga kuatt,bentuk dan ukur passs tpii lem nyaa ngga kuatt,positif
Sepatu nya bagus enak di pakai dan empuk utk olahraga.. Mksh,sepatu nya bagus enak di pakai dan empuk utk olahraga mksh,positif
mantap sesuai pesanan anakku suka makasi seller makasi kurir yg baik👍👍🙏🏻🙏🏻,mantap sesuai pesan anak suka makas seller makas kurir yang baik,positif
"Terimah kasih,, paketnya sesuai dngan gambar, saya suka, smoga bisa bertahan lama",terimah kasih paket sesuai dngan gambar saya suka smoga bisa tahan lama,netral
Alhamdulillaah sudah sampai Tapi kecewa barang yang dikirim tidak sesuai dengan yang diorder.,alhamdulillaah sudah sampai tapi kecewa barang yang kirim tidak sesuai dengan yang order,negatif
ukurannnya terlalu besarr di kaki sya,ukurannnya terlalu besarr di kaki sya,netral
Bagus hanya saja salah pilih size😂,bagus hanya saja salah pilih size,positif
Bagus sepatunya juga ringan suka banget,bagus sepatu juga ringan suka banget,positif
Sangat bagus sepatu nya ringan sekali,sangat bagus sepatu nya ringan sekali,positif
Sepatunya bagus banget ringan lagi,sepatu bagus banget ringan lagi,positif
Bentuk dan ukuran: Rapi dan cantik,bentuk dan ukur rapi dan cantik,netral
"Barang sudah aku terima, mantap sepatutnya",barang sudah aku terima mantap patut,positif
"MANTAP sepatunya,pengirimannya saja yang lama nyampe",mantap sepatunyapengirimannya saja yang lama nyampe,netral
Brang ny bagus banget memeuankan,brang ny bagus banget memeuankan,positif
Barang bagus sesuai pesanan.. 👍,barang bagus sesuai pesan,positif
Daya tahan pakai: Sangat tebal Bentuk dan ukuran: Pas sesuai pesanan,daya tahan pakai sangat tebal bentuk dan ukur pas sesuai pesan,positif
Bentuk dan ukuran: Pas 36 Daya tahan pakai: Kuat tahan lama,bentuk dan ukur pas daya tahan pakai kuat tahan lama,netral
Bentuk dan ukuran: Bentuk sesuai dengan gambar namun sayang agak sedikit kebesaran utk ukurannya,bentuk dan ukur bentuk sesuai dengan gambar namun sayang agak sedikit besar utk ukur,positif
"Kereen,tp takut rusak kalo dicuci Pake lem sepatunya,kecium bau lem🥴 Dpt bonus kaos kaki",kereentp takut rusak kalo cuci pake lem sepatunyakecium bau lem dpt bonus kaos kaki,negatif
Sepatu nya gak terlalu empuk dan cat nya cepat ngelupuas dan sol nya ngelupuas dikit,sepatu nya gak terlalu empuk dan cat nya cepat ngelupuas dan sol nya ngelupuas dikit,positif
Bagus. Sayang ukuran 41 nya kurang besar dikakiku.. jdinya ngepres bgt🙏,bagus sayang ukur nya kurang besar kak jdinya ngepres bgt,positif
"barang bagus, kwalitas sangat baik istri saya sangat suka, toko amanah dan kurirnya juga sangat rama",barang bagus kwalitas sangat baik istri saya sangat suka toko amanah dan kurir juga sangat rama,positif
Bagusss ringan cocok untuk olahraga jalan kaki,bagusss ringan cocok untuk olahraga jalan kaki,positif
Super bagus dipake jalan 10k langkah no berat no lecet Udah bli lagi 1 saking bagus dan ringan nya Aku sizenya 37 aku tambahin jadi 38 biar gak sesek pake 2 kaos kaki aduh nyaman jossss,super bagus dipake jalan k langkah no berat no lecet udah bli lagi saking bagus dan ringan nya aku sizenya aku tambahin jadi biar gak sek pake kaos kaki aduh nyaman jossss,positif
Bentuk dan ukuran: Pas Aroma: Standar Daya tahan pakai: Smga awet,bentuk dan ukur pas aroma standar daya tahan pakai smga awet,netral
"Bentuk dan ukuran: Agak kegedean tp nyaman klo pke kaos kaki, sepatunya enteng bngt enak buat olahraga",bentuk dan ukur agak gede tp nyaman klo pke kaos kaki sepatu enteng bngt enak buat olahraga,netral
Bagus banget ringan,bagus banget ringan,positif
"Baguss bangetttt... bahannya baguss, ukuran 36 besar dikit utk kakiku..",baguss bangetttt bahan baguss ukur besar dikit utk kaki,positif
Sepatunya cmn di ksih 1 talinya,sepatu cmn di ksih tali,netral
"Bagus sepatunya ringan pas dipakai insole 23,5 size 38 ,,utk kualitas biasa aja,smoga awet",bagus sepatu ringan pas pakai insole size utk kualitas biasa ajasmoga awet,positif
yg ditunggu sudah datang paket sepatu warnanya sesuai yg diorder sdh dicoba jg enak dipakainya ringan pengiriman cepat ok..lah puas next order warna yg lain,yang tunggu sudah datang paket sepatu warna sesuai yang order sdh coba jg enak pakai ringan kirim cepat oklah puas next order warna yang lain,positif
Sepatunya bagus..ringan..pas di kaki aku...tokonya amanah...kurirnya langganan. Ramah....sukses slalu tokonya...bonus kaos kaki,sepatu bagusringanpas di kaki akutokonya amanahkurirnya langgan ramahsukses slalu tokonyabonus kaos kaki,positif
"Sepatunya bagus,ringan dan nyaman di pakai, next order warna yg lain",sepatu bagusringan dan nyaman di pakai next order warna yang lain,positif
Bentuk dan ukuran: Sesuai dengan yang di deskripsikan Aroma: New Daya tahan pakai: Mudah-mudahan awet Warna: Stabilo sesuai dengan pesanan,bentuk dan ukur sesuai dengan yang di deskripsi aroma new daya tahan pakai mudahmudahan awet warna stabilo sesuai dengan pesan,positif
Ringan. Agak lecet dikit,ringan agak lecet dikit,netral
Mksh barang dah sampai sama seperti yg di pesan sesuai,mksh barang dah sampai sama seperti yang di pesan sesuai,positif
Gambar bagus tp kurang srek aja ..gpp lah sudah terlanjur vidio katanya original pdhal beda,gambar bagus tp kurang srek aja gpp lah sudah lanjur vidio kata original pdhal beda,positif
Ada harga ada kualitas lem sepatunya ada yg.kebuka dan pinggiran sepatunya ada yg.kegores,ada harga ada kualitas lem sepatu ada ygkebuka dan pinggir sepatu ada ygkegores,netral
Sangat nyaman . Amanah dan sesuai sama apa yang saya inginkan pengiriman juga tepat waktu,sangat nyaman amanah dan sesuai sama apa yang saya ingin kirim juga tepat waktu,positif
"Sepatu bagus.....ringan, enak d bawa buat olahraga",sepatu bagusringan enak d bawa buat olahraga,positif
Sangat puas dgn barangnya Sesuai pesanan. Pokonyaanya Mantap. Beda dgn di tokoh lain tdk sesuai pesanan yg datang. Good,sangat puas dgn barang sesuai pesan pokonyaanya mantap beda dgn di tokoh lain tidak sesuai pesan yang datang good,positif
"Lumayan empuk, tapi telapak ya plastik. Kek ya licin",lumayan empuk tapi telapak ya plastik kek ya licin,netral
"Ringan cocok sekali di aku, dapat kaos kaki juga huhuhu lucunyaa",ringan cocok sekali di aku dapat kaos kaki juga huhuhu lucunyaa,netral
Baik,baik,positif
"Masyaalllah bangus sekali, ringan di pakai..",masyaalllah bangus sekali ringan di pakai,netral
Warna: Sangat cantik Bentuk dan ukuran: Sesuai,warna sangat cantik bentuk dan ukur sesuai,positif
"Sangattt bagus,, enteng dipakai ,,, toppppp",sangattt bagus enteng pakai toppppp,positif
Sepatunya nyaman bgt d pakai enak empuk ukuranya pas dan ygpati keren👍👍👍 Aq sdh repeat order krn suka☺️,sepatu nyaman banget d pakai enak empuk ukuranya pas dan ygpati keren aq sdh repeat order krn suka,netral
Pengiriman tepat wkt ... Nyaman dipakai.. Sesuai reel,kirim tepat wkt nyaman pakai sesuai reel,positif
Free kaos kaki semoga awet yah .,free kaos kaki moga awet yah,netral
"baguss bangett dah order tuk beberapa x nya amanah, cepat bangettttf",baguss bangett dah order tuk beberapa x nya amanah cepat bangettttf,positif
Barang datang dengan selamat gak ada kerusakan mantap lah pokoknya dan sesuai pesanan,barang datang dengan selamat gak ada rusa mantap lah pokok dan sesuai pesan,positif
"Bentuk dan ukuran: Sempit..padahal pesan 38 namun d kaki sempit Aroma: Bau lemak FOX..sangat menyenggat baunya🥺 Daya tahan pakai: belum tau..udh d coba namun sepatunya kerasa merasa.,",bentuk dan ukur sempitpadahal pesan namun d kaki sempit aroma bau lemak foxsangat senggat bau daya tahan pakai belum tauudh d coba namun sepatu rasa rasa,negatif
Bagus ringan dan nyaman buat jogging,bagus ringan dan nyaman buat jogging,positif
Alhamdulillah barang sampe dengan aman dan sesuai dengan yang di gambar,alhamdulillah barang sampe dengan aman dan sesuai dengan yang di gambar,positif
tidak sesuai ekspektasi bahan dan lain',tidak sesuai ekspektasi bahan dan lain,netral
"Alhamdulillah,bagus sesuai pesanan,👍👍",alhamdulillahbagus sesuai pesan,positif
Barang sangat sesuai sekali dgn harapan,barang sangat sesuai sekali dgn harap,positif
Bagus seusia harga,bagus usia harga,positif
"Bukan yang asli ternyata, pantesan lama sekali sampai",bukan yang asli nyata pantesan lama sekali sampai,negatif
Sangat baik,sangat baik,positif
Sesuai harapan,sesuai harap,positif
Lem nya ke buka,lem nya ke buka,netral
MantuLLll,mantullll,netral
Bentuk dan ukuran: Sesuai nomor 40,bentuk dan ukur sesuai nomor,positif
Bentuk dan ukuran: UK. 41 tapi muat di UK. 39,bentuk dan ukur uk tapi muat di uk,netral
Abal2 banget kyk sepatu 50rb an catnya keliatan bgt,abal banget kyk sepatu rb an cat liat banget,netral
"Alhamdulillah paketnya sudah nyampai, sy suka. Walau pun agak telat",alhamdulillah paket sudah nyampai sy suka walau pun agak telat,netral
tooooooooop markotooooop 🙏🤲🥰🌹,tooooooooop markotooooop,netral
Pas nyaman d pke..semoga tahan lama,pas nyaman d pkesemoga tahan lama,negatif
Real pic. Bagus bgt. Suami saya suka bgt. Terimakasih seller tiktok shop dan bang kurir 🙏🙏🙏🙏,real pic bagus banget suami saya suka banget terimakasih seller tiktok shop dan bang kurir,positif
Bagus untuk hari hari,bagus untuk hari hari,positif
Cakep bgt busett 😍,cakep banget busett,netral
Sangat bagus barang gak kecewa,sangat bagus barang gak kecewa,netral
"Mantap banget sumpah, kren banget",mantap banget sumpah kren banget,positif
Alhamdulilah paketnya udah datang .tapi sayang tidak sesuai dengan ekspetasi,alhamdulilah paket udah datang tapi sayang tidak sesuai dengan ekspetasi,netral
Septuny bgs cuman gd tasnya ...,septuny bgs cuman gd tas,netral
Bentuk dan ukuran: 41 Warna: blackpink,bentuk dan ukur warna blackpink,netral
Pesanan sdh diterima dgn baik istri sy pun senang menerimanya,pesan sdh terima dgn baik istri sy pun senang terima,positif
"Harganya murah, barangnya ya lumayanlah",harga murah barang ya lumayan,positif
Bagus. Sesuai gambar,bagus sesuai gambar,positif
Bgus KK sesuai ekspektasi 🥰💗💗💗💗💗💗💗💗💗💗💗,bgus kk sesuai ekspektasi,positif
Mnurut bb sy jelek tdk seduai gambar,mnurut bb sy jelek tidak dua gambar,negatif
"Barang udah sampe aku suka, prodak bgs sangat memuaskan. Top markotop pokoknya, gak nyesel beli disini nexs order lagi",barang udah sampe aku suka prodak bgs sangat muas top markotop pokok gak nyesel beli sini nexs order lagi,netral
Warna: Terang bgtt,warna terang bgtt,netral
barangya rwady cakep aju suka,barangya rwady cakep aju suka,netral
Kebesaran salah ambil size harusnya39,besar salah ambil size harus,netral
Mantap lah pokonamah,mantap lah pokonamah,positif
Mantap sepatunya rakpict makasih..,mantap sepatu rakpict makasih,positif
Bagus sesuai,bagus sesuai,positif
Realfick pokok ny mah suka...,realfick pokok ny mah suka,netral
Nga sesuai dengan yg sy pesan. Pesanx abu² pink. Mala yg datang putih pink. Kecewa,nga sesuai dengan yang sy pesan pesanx abu pink mala yang datang putih pink kecewa,netral
Brgacx bgus,brgacx bgus,netral
Barang bagus aku suka,barang bagus aku suka,positif
"Sesuai,muantap👍👍👍👍",sesuaimuantap,positif
Keren banget sangat memuaskan,keren banget sangat muas,netral
Biarkan Bintang yang berbicara,biar bintang yang bicara,netral
Bahan agak kasar.....,bahan agak kasar,netral
Ndak sama dgn yg diiklàn...tp sdh sesuai harga,ndak sama dgn yang diikl ntp sdh sesuai harga,positif
Good,good,netral
Ok barang sesuai pas dan krn,ok barang sesuai pas dan krn,positif
Kualitas kurang bagus,kualitas kurang bagus,positif
Terimakasih bonus kaos kaki Mantap,terimakasih bonus kaos kaki mantap,positif
Sepatunya kaya dipilos wrn saja,sepatu kaya dipilos wrn saja,netral
Sepatu ny ringan bgt ternyata,sepatu ny ringan banget nyata,netral
Asli cantik. Terima kasih,asli cantik terima kasih,netral
Bentuk dan ukuran: Sesuai,bentuk dan ukur sesuai,positif
Ihh sebel sumpah keren bingits 👍,ihh sebel sumpah keren bingits,netral
"alasnya lembek ,,kok gabus ☹️",alas lembek kok gabus,netral
Bagus n ringan,bagus n ringan,positif
SUMPAAHH CAKEPP POLLL😍😍😘,sumpaahh cakepp polll,netral
Keren,keren,netral
Tipis aslinya,tipis asli,netral
Memuaskan 👍👍👍,muas,netral
Lumayan sesuai harga🤗,lumayan sesuai harga,positif
sangat cantik,sangat cantik,netral
Bentuk dan ukuran: Keren,bentuk dan ukur keren,netral
Sangat puas kurirx juga ramah,sangat puas kurirx juga ramah,positif
Bagus sesuai brg nya,bagus sesuai barang nya,positif
Mantap,mantap,positif
mantap,mantap,positif
Free kaos kaki😍,free kaos kaki,netral
Bagus banget dan puas,bagus banget dan puas,positif
Bagus dan pas,bagus dan pas,positif
Bagusss😍,bagusss,positif
Mantap skli sesuai pesanan,mantap skli sesuai pesan,positif
Lumayanlah buat pke joging,lumayan buat pke joging,netral
Nice,nice,netral
Mff sepatunya tdk sesuai yg ku harapkan,mff sepatu tidak sesuai yang ku harap,netral
Keren 👍,keren,netral
Paket dah nyampe rumah makasih ya 😍😍🙏 semoga laris manis berkah barokah Aamiin 🤲🤲,paket dah nyampe rumah makasih ya moga laris manis berkah barokah aamiin,netral
Bagus banget ka!,bagus banget ka,positif
Maaf ya gak ssuai espektasi,maaf ya gak ssuai espektasi,netral
"baguss, bangat",baguss bangat,positif
Sesuai bagus sepatunya👍,sesuai bagus sepatu,positif
maaf bahasanya jelek,maaf bahasa jelek,negatif
Bagus. Sesuai,bagus sesuai,positif
Mantap barang nya,mantap barang nya,positif
Makasih,makasih,netral
Semoga awet,moga awet,netral
Bagus bnget,bagus bnget,positif
Sesuai dengan gambar,sesuai dengan gambar,positif
sesuai pesanan,sesuai pesan,positif
Jelek,jelek,negatif
Sepatu nya keren real pict,sepatu nya keren real pict,netral
Sesuai dengan pesanan,sesuai dengan pesan,positif
Maaf g bgus,maaf g bgus,netral
Pokoknya cakep aku suka,pokok cakep aku suka,netral
Bagus sepatunya,bagus sepatu,positif
Bagus,bagus,positif
bagus,bagus,positif
bagus❤️‍🔥,bagus,positif
oke,oke,netral
Y,y,netral
Realpict,realpict,netral
Sudah mendarat semoga awet ❤️,sudah darat moga awet,netral
Mantap 👍,mantap,positif
Lumayan bagus,lumayan bagus,positif
Bagusss,bagusss,positif
Lumayan bgs,lumayan bgs,netral
Recomended,recomended,netral
Suka,suka,netral
bgs lumayan,bgs lumayan,netral
Lumayan lah sesuai harga,lumayan lah sesuai harga,positif
Nice!,nice,netral
Lumayan,lumayan,netral
Mantab,mantab,netral
Top,top,netral
Lumayan lh..,lumayan lh,netral
Ya lumayan,ya lumayan,netral
Ok,ok,netral
Lumayan dengan harga segitu,lumayan dengan harga segitu,netral
Kurir....mengecewakan,kurirmengecewakan,netral
Baguuusss,baguuusss,netral
B aja,b aja,netral
Bagus banget.. Ringan banget. . Tp warna pink nya hanya dibawah telapak sepatu.. Gak ada dibagian samping sol nya,bagus banget ringan banget tp warna pink nya hanya bawah telapak sepatu gak ada bagi samping sol nya,positif
"Ukurannya pas, pengiriman cepat, warna pink di bawahnya agak beda sama yang di gambar",ukur pas kirim cepat warna pink di bawah agak beda sama yang di gambar,positif
Bentuk dan ukuran: Bagus ukuran pas Warna: Keren..hitam pink👍 Dan bonus kaos kaki juga .mksh 🙏,bentuk dan ukur bagus ukur pas warna kerenhitam pink dan bonus kaos kaki juga mksh,positif
"Bentuk dan ukuran: Sesuai dengan pesanan Cpt pengiriman nya ,",bentuk dan ukur sesuai dengan pesan cpt kirim nya,positif
"Pengiriman cepat, packing aman, sesuai pesanan😍",kirim cepat packing aman sesuai pesan,positif
Alhamdulillah Toko Amanah Pengiriman cepat n barang sesuai dengan yg diorder,alhamdulillah toko amanah kirim cepat n barang sesuai dengan yang order,positif
"cakep banget, real pict. pas bgt di kaki aku bonus kaos kaki juga... sya syukaaaa😍 makasiiihhh 🙏",cakep banget real pict pas banget di kaki aku bonus kaos kaki juga sya syukaaaa makasiiihhh,netral
"Barangnya bagus, TDK keras jg",barang bagus tidak keras jg,positif
thank you kak sepatu nya bagus ringan enak banget dipake gak bikin kaki ku sakit atau lecet cakep 🥰🥰,thank you kak sepatu nya bagus ringan enak banget dipake gak bikin kaki ku sakit atau lecet cakep,positif
"Bismillahirrahmanirrahim Alhamdulillah sepatunya sudah datang, awalnya dikira kecil cari ukuran yg 21, 22 cm, setelah baca deskripsi ternyata ukuran 36 itu 24cm, sempat kecewa, tapi syukurnya bisa muat di anakku, alhamdulillah masih bermanfaat, rejeki anaku berarti. sepatunya bagus mudah2an awet 🙏",bismillahirrahmanirrahim alhamdulillah sepatu sudah datang awal kira kecil cari ukur yang cm telah baca deskripsi nyata ukur itu cm sempat kecewa tapi syukur bisa muat di anak alhamdulillah masih manfaat rejeki ana arti sepatu bagus mudah awet,netral
"Sptu nya keren,,sesuai foto..ringan enak dipake,uk pas free kaos kaki..👍",sptu nya kerensesuai fotoringan enak dipakeuk pas free kaos kaki,positif
"Kmren barang sdh sya trima dan sngat enteng Lari jdi ringan mgkin nanti(pagi ini baru mo dipake running)🤭 Smga awet,thx seller",kmren barang sdh sya trima dan sngat enteng lari jdi ringan mgkin nantipagi ini baru mo dipake running smga awetthx seller,netral
"sepatunya bagus ringan dipakai, semoga awet makasih🙏🏻🙏🏻tiktok shop and abang kurir nya yg sudah langganan semoga ttp amnah 🤲🏻",sepatu bagus ringan pakai moga awet makasih tiktok shop and abang kurir nya yang sudah langgan moga ttp amnah,positif
"Enteng beut sepatunya, tampilan cantik terkirim sesuai pesanan. Mudah-mudahan awet dan nyaman dipakainya",enteng beut sepatu tampil cantik kirim sesuai pesan mudahmudahan awet dan nyaman pakai,positif
Bagus dan realpict Tp syg 38 nya kebasaran,bagus dan realpict tp syg nya kebasaran,positif
Barang bagus sesuai dengan pesanan,barang bagus sesuai dengan pesan,positif
Alhamdulillah sepatunya udah nyampe. Asli cabtik,alhamdulillah sepatu udah nyampe asli cabtik,netral
Barang bagus dan empuk.. Sesuai pesanan trmksh,barang bagus dan empuk sesuai pesan trmksh,positif
Alhamdulillah sampai ny tepat waktu dan sangat real pict,alhamdulillah sampai ny tepat waktu dan sangat real pict,netral
Bagus banget pokonya mantap nyaman,bagus banget poko mantap nyaman,positif
Sesuai real pic di gambar... Keren aku suka. Kurir Amanah 👍👍👍,sesuai real pic di gambar keren aku suka kurir amanah,positif
Keren kece ringan cocok buat Olga ap z,keren kece ringan cocok buat olga ap z,netral
"Pesen nya yg pink tosca Yg dtg hitam pink Tp gpp lah ,lain kali hrs lebih teliti Dan di cek lg sebelum di kemas",sen nya yang pink tosca yang dtg hitam pink tp gpp lah lain kali hrs lebih teliti dan di cek lg belum di kemas,netral
Bagus bngt sesuai ekspektasi 🙏,bagus bngt sesuai ekspektasi,positif
Bentuk dan ukuran: Pas Daya tahan pakai: Empuk dan ringan,bentuk dan ukur pas daya tahan pakai empuk dan ringan,netral
Keren bgt 🫰semoga nyaman di pake nya,keren banget moga nyaman di pake nya,netral
"paling nyaman, barusan di pake senam ringan banget",paling nyaman barusan di pake senam ringan banget,netral
Bentuk dan ukuran: Pas Aroma: Bagus Daya tahan pakai: Belum di ketahui semoga awet,bentuk dan ukur pas aroma bagus daya tahan pakai belum di tahu moga awet,positif
Sepatu terasa panas Bentuk dan ukuran: Sesuai Aroma: Biasa Daya tahan pakai: Lentur,sepatu asa panas bentuk dan ukur sesuai aroma biasa daya tahan pakai lentur,positif
Bagus banget sepatu nya enteng banget nyaman di pakai,bagus banget sepatu nya enteng banget nyaman di pakai,positif
Mantap sesuai aslinya.. 😍 Bentuk dan ukuran: Pas,mantap sesuai asli bentuk dan ukur pas,positif
Bentuk dan ukuran: Semuanya pas dan sesuai,bentuk dan ukur semua pas dan sesuai,positif
Jahitan nya sedikit kurang rapi tp untuk harga segitu wort it lah 😉,jahit nya sedikit kurang rapi tp untuk harga segitu wort it lah,netral
Maaf Bru ngasi ulasan sepatux mantul semoga tokox amanah ters dan kurirx baik maaf TDK ngasi vidiox,maaf bru ngasi ulas sepatux mantul moga tokox amanah ters dan kurirx baik maaf tidak ngasi vidiox,positif
bagus dan udh 2x aku order ni sepatu.ringan nyaman buat joging,bagus dan udh x aku order ni sepaturingan nyaman buat joging,positif
"Kok wrna sepatunya beda yg datang, sy pesan yg wrna putih pink malah yg dtng hitam pink",kok wrna sepatu beda yang datang sy pesan yang wrna putih pink malah yang dtng hitam pink,netral
"Yg di order merk hoka,,yg datang merk lain!!! Kecewa bgt…",yang di order merk hokayg datang merk lain kecewa bgt,negatif
Sesuai ckep ringan,sesuai ckep ringan,positif
ga di ragukan LG Pokok ny sepatu ny mantul enteng bngt cocok untuk lari2,tidak di ragu lg pokok ny sepatu ny mantul enteng bngt cocok untuk lari,netral
Bentuk dan ukuran: Pas,bentuk dan ukur pas,netral
Sesuai pesanan dan pengiriman cepat... Terimakasih..,sesuai pesan dan kirim cepat terimakasih,positif
Pas banget di kaki pokox nyamana di pake,pas banget di kaki pokox nyamana di pake,netral
i think bakal pink yangg ngejreng ternyata baby pinkkk cuteee dehh,i think bakal pink yangg ngejreng nyata baby pinkkk cuteee dehh,netral
Alhamdulilah barang bagus. Dan sesuai pesanan. Nnti mao order lg,alhamdulilah barang bagus dan sesuai pesan nnti mao order lg,positif
Bahanya.nya TDK bagus kecewa kaya sepatu murahan,bahanyanya tidak bagus kecewa kaya sepatu murah,positif
Sesuai harga n lumayan jg,sesuai harga n lumayan jg,positif
"Barang sesuai dengan harganya, lumayan",barang sesuai dengan harga lumayan,positif
Ini barang nya tidak sesuai warna nya di pesan beda malah yang datang beda,ini barang nya tidak sesuai warna nya di pesan beda malah yang datang beda,netral
"Suka Bagus, sesuai harga",suka bagus sesuai harga,positif
Puas sesuai foto,puas sesuai foto,positif
Barang Sesuai pesanan,barang sesuai pesan,positif
Barangnya bangun gess,barang bangun gess,netral
Cantik dan bagus sukses selalu kak 🤲,cantik dan bagus sukses selalu kak,positif
Sesuai ekspektasi,sesuai ekspektasi,positif
Alhamdulillah sesuai pesanan datang nya,alhamdulillah sesuai pesan datang nya,positif
sangat tidak bagus,sangat tidak bagus,positif
Top real picture Warna: Pas,top real picture warna pas,netral
Ringan dipake,ringan dipake,netral
"Warna TDK sesuai permintaan,yg di reg navi pink tosca yg dtng hitam pink😔😔",warna tidak sesuai permintaanyg di reg navi pink tosca yang dtng hitam pink,netral
Bagus ringan enak dipakai,bagus ringan enak pakai,positif
Paketnya di terima dalam keadaan baik sesuai pick semoga awet,paket di terima dalam ada baik sesuai pick moga awet,positif
"Lumayanlah,,,aga kurang rapih",lumayanlahaga kurang rapih,netral
Mantap bahannya,mantap bahan,positif
Bagus banget aku suka,bagus banget aku suka,positif
Mantaplah,mantap,positif
Cantik sesuai harga,cantik sesuai harga,positif
Seperti asli,seperti asli,netral
"Bagus sesuai pesanan,mantap",bagus sesuai pesananmantap,positif
Kurang enak di pakek,kurang enak di pakek,netral
Pas bgt tapi lumayan bagus,pas banget tapi lumayan bagus,positif
Ok.bagus sesuailah Ama harga,okbagus sesuai ama harga,positif
Keren sepatunya 😍,keren sepatu,netral
Sepatu di trima dngn baik🥰🥰🥰,sepatu di trima dngn baik,positif
Bagus bgt keren..ringan,bagus banget kerenringan,positif
Ok,ok,netral
Mudah²han tahan,mudah han tahan,netral
Pas sesuai,pas sesuai,positif
mantul orderan yg ke 2 x ny,mantul order yang ke x ny,netral
Barangnya bagus,barang bagus,positif
Ga sesuai ekspetasi,tidak sesuai ekspetasi,netral
Sangat memuaskan🥰,sangat muas,netral
bagus realpict,bagus realpict,positif
Real pict,real pict,netral
Pas,pas,netral
Jelekk,jelekk,negatif
Lumayan. Harga segitu. Semoga awet,lumayan harga segitu moga awet,netral
Bagus,bagus,positif
Mf terlmbt Keren deh pokok e,mf terlmbt keren deh pokok e,netral
Mantap,mantap,positif
mantap,mantap,positif
Mantap pokoknya💜,mantap pokok,positif
Puas,puas,positif
"Bagus rekomen ,semoga awet",bagus rekomen moga awet,positif
Bagusss 👍👍👍,bagusss,positif
Baguus . Mantap,baguus mantap,positif
Keren,keren,netral
Lumayanlah,lumayan,netral
Bgus,bgus,netral
Mantul dah,mantul dah,netral
Asiik,asiik,netral
Biarkan bintang yg berbicara,biar bintang yang bicara,netral
Tks,tks,netral
"Kualitas barang cukup, meskipun tampilan aslinya tidak seperti di foto deskripsi. Sesuai dengan harga yang ditawarkan.",kualitas barang cukup meski tampil asli tidak seperti di foto deskripsi sesuai dengan harga yang tawar,positif
"+ Modelnya bagus, nyaman dipakai, bahan nya kuat. - Tapi bentuknya agak melengkung dan insole nya seperti mau lepas. Overall ok lah sepadan dengan harganya.",model bagus nyaman pakai bahan nya kuat tapi bentuk agak lengkung dan insole nya seperti mau lepas overall ok lah padan dengan harga,positif
"Sesuai deskripsi, kualitas sesuai harga lah. Yg pasti bukan original produk. Tp yang penting berfungsi sebagaimana mestinya. Cocok buat sendal rumahan aja.",sesuai deskripsi kualitas sesuai harga lah yang pasti bukan original produk tp yang penting fungsi bagaimana mesti cocok buat sendal rumah aja,positif
"okelah dengan harga segitu...pas dikaki, respon penjual dan pengiriman pun cepat",oke dengan harga segitupas kaki respon jual dan kirim pun cepat,positif
"oke lah, sesuai harga, lumayan buat dipakai harian",oke lah sesuai harga lumayan buat pakai hari,positif
Penjual gak jujur. Ukuran kecil dipaksa dilabel in 45. Mau cancel kemarin juga gak bisa. Ini malah gak bisa kepakai barangnya. Perbandingan sama ukuran 44 juga masih keci...,jual gak jujur ukur kecil paksa label in mau cancel kemarin juga gak bisa ini malah gak bisa pakai barang banding sama ukur juga masih keci,netral
"Modelnya keren! Pas di kaki & nyaman waktu dipake beraktivitas. Bahannya tebal tapi nggak gerah, kok.",model keren pas di kaki nyaman waktu dipake aktivitas bahan tebal tapi tidak gerah kok,netral
"kayak sendal 35k an. lem nya lepas, saya lihat bukan sekali ini saja ada jg review sebelumnya.",kayak sendal k an lem nya lepas saya lihat bukan sekali ini saja ada jg review belum,netral
"ukuran pas di kaki,,agak lebar dikit bag depan,pengiriman cpt,,semoga awet",ukur pas di kakiagak lebar dikit bag depanpengiriman cptsemoga awet,netral
"Pesen warna hijau yg dateng warna hitem.. ini sebenernya sih ga ori sih sepertinya, tp premium, karena kalo ori adidas itu ada tag insole di dalem selempang sendal. Hany...",sen warna hijau yang dateng warna hitem ini sebenernya sih tidak ori sih seperti tp premium karena kalo ori adidas itu ada tag insole di dalem selempang sendal hany,netral
"barang nyankurang oke, adisasnya hanya sablon bukan timbul dan gemuk sandalnya",barang nyankurang oke adisasnya hanya sablon bukan timbul dan gemuk sandal,netral
"modelnya sesuai foto,pengirman cepat,packing rapi,sukses tokonya",model sesuai fotopengirman cepatpacking rapisukses toko,positif
"Respon & pengiriman lambat, kualitas barang cukup bagus dgn harga sgitu. Tks 🙏",respon kirim lambat kualitas barang cukup bagus dgn harga sgitu tks,positif
"Jelek banget barangnya, seperti sandal harga 25rb an, barang tdk sesuai dgn harga, sablon berbayang, kalo harganya murah saya kasih bintang 5",jelek banget barang seperti sandal harga rb an barang tidak sesuai dgn harga sablon bayang kalo harga murah saya kasih bintang,netral
